,title,href,time,pay
46,环境科学与工程系研究生第三党支部召开支部大会 开展党的二十大精神和党章学习交流活动,/2022/1101/c2314a579414/page.htm,2022/1101,50
47,飞跃重洋，院系国际化——环境科学与工程系举办境外交流/留学经验线上分享座谈会,/2022/1101/c2314a579412/page.htm,2022/1101,30
48,环境科学与工程系举办青春“境”技提升营第五场讲座——图书馆资源及利用,/2022/1018/c2314a576252/page.htm,2022/1018,30
49,环境科学与工程系成功举办第四场新师沙龙活动,/2022/1018/c2314a576250/page.htm,2022/1018,30
50,雏鹰胸怀凌云志，入学教育护鹰翔 ——环境科学与工程系圆满完成2022级本科新生入学教育工作,/2022/1012/c2314a575474/page.htm,2022/1012,30
51,环境科学与工程系举办“喜迎二十大”之“弘扬中华传统文化 共筑绿色发展之路”主题摄影大赛,/2022/1009/c2314a574667/page.htm,2022/1009,30
52,环迎国庆，境享欢乐——环境科学与工程系团总支举办本科生趣味团体比赛,/2022/1008/c2314a574421/page.htm,2022/1008,70
53,肩负历史使命，坚定前进信心——环境科学与工程系2022级研究生参观校史馆和博物馆,/2022/1008/c2314a574418/page.htm,2022/1008,30
54,老科学家走进学院专题报告活动走进环境科学与工程系,/2022/1008/c2314a574417/page.htm,2022/1008,30
55,坚定历史自信 增强历史主动 担当历史使命 ——校党委副书记傅尧为环境科学与工程系研究生第一党支部上专题党课,/2022/0927/c2314a571411/page.htm,2022/0927,50
56,环境科学与工程系召开2022~2023学年秋季学期学生工作会议,/2022/0923/c2314a570946/page.htm,2022/0923,30
57,忆先辈英雄，感“红专”精神——环境科学与工程系2022级本科生参观校史馆和博物馆,/2022/0923/c2314a570945/page.htm,2022/0923,50
58,初见——环境科学与工程系2022级硕士博士班召开首次班会,/2022/0913/c2314a568217/page.htm,2022/0913,50
59,喜迎二十大青春向党，锤炼好体魄强国有我——环境科学与工程系团总支举办中秋团建暨飞盘体验活动,/2022/0913/c2314a568129/page.htm,2022/0913,50
60,环聚一堂，共度中秋——环境科学与工程系2022级本科班开展中秋班级团建活动,/2022/0913/c2314a567868/page.htm,2022/0913,30
61,铁马欢歌，风华正茂——环境科学与工程系2022级本科新生军训有感,/2022/0905/c2314a567000/page.htm,2022/0905,70
62,飞越重洋，跨国追梦——环境科学与工程系2022级本科生“飞越重洋”宣讲会顺利收官,/2022/0905/c2314a566998/page.htm,2022/0905,50
63,新生添活力 安全记于心——环境科学与工程系2022级本科班召开社团活力课程与安全教育主题班会,/2022/0905/c2314a566997/page.htm,2022/0905,50
64,初心不忘，薪火相传——环境科学与工程系2022级本科班举办 学长学姐经验分享会暨首次集体生日会,/2022/0905/c2314a566996/page.htm,2022/0905,50
65,争做环保卫士，共守碧水蓝天——环境科学与工程系2022级本科班举办师生交流会,/2022/0905/c2314a566995/page.htm,2022/0905,50
66,环聚科大，境享未来——环境科学与工程系喜迎2022级研究生新生,/2022/0905/c2314a566994/page.htm,2022/0905,50
67,环境科学与工程系“资有妙用”团队开展2022暑期“三下乡”社会实践活动,/2022/0825/c2314a565682/page.htm,2022/0825,70
68,环境科学与工程系2022级本科班召开“大学生涯启航”主题班会,/2022/0828/c2314a565967/page.htm,2022/0828,70
69,红心向党，红色青年——环境科学与工程系2022级本科班开展新生团课教育暨红启工程,/2022/0828/c2314a565966/page.htm,2022/0828,50
70,初见——环境科学与工程系2022级本科班召开首次班会,/2022/0828/c2314a565965/page.htm,2022/0828,30
71,环聚科大，境享未来——环境科学与工程系喜迎2022级本科新生,/2022/0828/c2314a565964/page.htm,2022/0828,70
72,环境科学与工程系研究生会召开2021-2022学年春季学期工作总结会,/2022/0727/c2314a563574/page.htm,2022/0727,50
73,环境科学与工程系研究生第一党支部召开学期总结交流会,/2022/0721/c2314a563129/page.htm,2022/0721,70
74,喜迎二十大，科技向未来——环境科学与工程系研究生第三党支部赴安徽创新馆参观学习,/2022/0719/c2314a562869/page.htm,2022/0719,50
75,喜迎二十大青春向党，锤炼好体魄强国有我——环境科学与工程系研究生第二党支部举办户外飞盘体验活动,/2022/0719/c2314a562867/page.htm,2022/0719,30
76,环境科学与工程系2020级硕士博士班召开“珍爱生命，远离毒品”禁毒宣传主题班会,/2022/0704/c2314a561742/page.htm,2022/0704,30
77,环无止境，护航未来 ——环境科学与工程系开展专业宣讲交流系列活动,/2022/0624/c2314a560785/page.htm,2022/0624,50
78,青春同梦，双创同行——环境科学与工程系举办创新创业启蒙报告会,/2022/0624/c2314a560783/page.htm,2022/0624,70
79,环梦启航，境向未来——环境科学与工程系举办2022届毕业生离校暨“我为母校建言献策”座谈会,/2022/0624/c2314a560782/page.htm,2022/0624,30
80,不忘初心，服务传承——环境科学与工程系研究生第二党支部开展支部共建活动暨参加学校“光荣在党50年”纪念章颁发仪式,/2022/0624/c2314a560781/page.htm,2022/0624,30
81,环境科学与工程系2021级硕士博士班召开“珍爱生命，远离毒品”主题教育班会,/2022/0624/c2314a560780/page.htm,2022/0624,70
82,铭记历史，拒绝毒品——环境科学与工程系2021级本科班召开禁毒宣传主题班会,/2022/0621/c2314a560426/page.htm,2022/0621,50
83,少年班学院2021级1班与环境科学与工程系进行朋辈交流活动,/2022/0602/c2314a557123/page.htm,2022/0602,30
84,喜迎二十大 永远跟党走 奋进新征程——环境科学与工程系举办诚信 心理 劳动知识竞答学习教育活动,/2022/0530/c2314a556510/page.htm,2022/0530,30
85,【我为群众办实事】环境科学与工程系举办青春“境”技提升营第二场讲座——人际沟通之共情,/2022/0530/c2314a556509/page.htm,2022/0530,50
86,环境科学与工程系2020级硕士博士班开展“疫境成长，从心出发” 心理健康教育活动,/2022/0526/c2314a556117/page.htm,2022/0526,30
