,title,href,time,pay
0,核科学技术学院举办2023年科技活动周暨第八届“中国航天日”系列活动,/2023/0426/c2314a600691/page.htm,2023/0426,50
1,学习贯彻二十大精神 传承赓续红色血脉 ——国家同步辐射实验室党委（核科学技术学院党委）国家同步辐射实验室2018级研究生班党支部开展主题党日活动,/2023/0418/c2314a599596/page.htm,2023/0418,50
2,职引未来 核你同行 ——国家同步辐射实验室及核科学技术学院举办2023年求职就业经验交流会,/2023/0418/c2314a599638/page.htm,2023/0418,70
3,重走“科学家之路”，深悟科学家精神 ——国家同步辐射实验室/核科学技术学院开展清明节专项纪念活动,/2023/0417/c2314a599448/page.htm,2023/0417,70
4,核科学技术学院/国家同步辐射实验室联合国际合作与交流部 举办飞跃重洋-出国（境）交流宣讲调研会,/2023/0417/c2314a599440/page.htm,2023/0417,50
5,传承科学精神 厚植家国情怀 ——核科学技术学院、国家同步辐射实验室组织师生观赏话剧《今夜星辰》,/2023/0309/c2314a594350/page.htm,2023/0309,30
6,“植”此青绿播种梦想 “核”你共建绿色校园 ——核科学技术学院开展本科生植树节主题团日活动,/2023/0314/c2314a595057/page.htm,2023/0314,30
