,title,href,time,pay
0,地球和空间科学学院学生会举办考研和保研经验交流会,/2023/0428/c2314a600993/page.htm,2023/0428,50
1,“仲春月，踏青去”——地球和空间科学学院2022级博士班团支部开展团日主题活动,/2023/0330/c2314a597088/page.htm,2023/0330,70
2,地球和空间科学学院举办2023年SEG学生分会换届大会及颁奖仪式,/2023/0317/c2314a595417/page.htm,2023/0317,50
3,地球和空间科学学院大三大四本科生开展暑期研究和出国申请经验交流活动,/2023/0317/c2314a595414/page.htm,2023/0317,30
4,地球和空间科学学院党委书记刘斌为2022级本科新生上党课,/2022/0902/c2314a566368/page.htm,2022/0902,30
5,汪毓明院长为地球和空间科学学院2022级本科新生讲授“入学第一课”,/2022/0901/c2314a566221/page.htm,2022/0901,50
6,地球和空间科学学院举行2022级本科新生家长会,/2022/0901/c2314a566220/page.htm,2022/0901,70
