,title,href,time,pay
49,管理学院工商管理系2021级硕士班团支部主题团日活动——“新时代的伟大成就”,/2022/1107/c2314a579729/page.htm,2022/1107,30
50,管理学院工商管理系2021级硕士班团支部主题团日活动——“提高安全防范意识 谨防电信网络诈骗”,/2022/1107/c2314a579726/page.htm,2022/1107,30
51,以史为鉴，开创未来——管理学院MBA2202班参观校史馆、博物馆,/2022/1107/c2314a579725/page.htm,2022/1107,30
52,学习党的二十大精神 争做时代奋进新青年——管理学院2021级统计本科班主题团日活动顺利开展,/2022/1102/c2314a579422/page.htm,2022/1102,30
53,管理学院2022级本科1班推优入党团支部大会,/2022/1101/c2314a579382/page.htm,2022/1101,30
54,管理学院2022级经济管理实验班国庆组织观影活动,/2022/1101/c2314a579381/page.htm,2022/1101,70
55,金秋九月丰收季，心怀明月颂师恩   ——管理学院2022级统计与金融硕士班教师节活动,/2022/1101/c2314a579378/page.htm,2022/1101,30
56,管理学院2021级金融本科班举办参观渡江战役馆活动,/2022/1101/c2314a579377/page.htm,2022/1101,30
57,  管理学院21级MF（上海1班）硕士班团支部“学习二十大 永远跟党走 奋进新征程”学习教育主题团日活动,/2022/1101/c2314a579375/page.htm,2022/1101,30
58,管理学院学生给定点帮扶地区捐赠电脑更新系统志愿活动圆满结束,/2022/1101/c2314a579371/page.htm,2022/1101,70
59,中国科大管理学院学术微沙龙活动成功举办  不被定义的科研人——反焦虑指北,/2022/1101/c2314a579370/page.htm,2022/1101,50
60,管理学院2022“青春心向党 唱响新时代”校园歌手大赛圆满落幕,/2022/1101/c2314a579369/page.htm,2022/1101,70
61,管理学院研究生会2022年骨干培训大会顺利召开,/2022/1101/c2314a579367/page.htm,2022/1101,30
62,秋日纳新凉，鲜花暖人心——管理学院研究生会举办秋日寻花主题活动,/2022/1028/c2314a578451/page.htm,2022/1028,30
63,2022级管理学院本科1班集体参观校史馆、博物馆,/2022/1013/c2314a575635/page.htm,2022/1013,50
64,2022级管理学院本科1班国庆期间观看《万里归途》,/2022/1013/c2314a575634/page.htm,2022/1013,30
65,管理学院2021级统计本科班开展“民族团结一家亲 喜迎党的二十大”劳动教育实践主题团日活动,/2022/1008/c2314a574453/page.htm,2022/1008,50
66,手起球落，应声入网  ——管理学院队2022级本科1班3v3新生杯夺冠,/2022/1010/c2314a574970/page.htm,2022/1010,30
67,管理学院“锦时逐梦 新星向荣”迎新晚会成功举办,/2022/1010/c2314a574978/page.htm,2022/1010,30
