,title,href,time,pay
0,格物致知 叩问苍穹 ——中国科大2023年科技活动周之国家同步辐射实验室科普点活动成功举办,/2023/0426/c2314a600642/page.htm,2023/0426,70
1,学习贯彻二十大精神 传承赓续红色血脉 ——国家同步辐射实验室党委（核科学技术学院党委）国家同步辐射实验室2018级研究生班党支部开展主题党日活动,/2023/0418/c2314a599596/page.htm,2023/0418,50
2,职引未来 核你同行 ——国家同步辐射实验室及核科学技术学院举办2023年求职就业经验交流会,/2023/0418/c2314a599638/page.htm,2023/0418,70
3,重走“科学家之路”，深悟科学家精神 ——国家同步辐射实验室/核科学技术学院开展清明节专项纪念活动,/2023/0417/c2314a599448/page.htm,2023/0417,70
4,核科学技术学院/国家同步辐射实验室联合国际合作与交流部 举办飞跃重洋-出国（境）交流宣讲调研会,/2023/0417/c2314a599440/page.htm,2023/0417,50
5,传承科学精神 厚植家国情怀 ——核科学技术学院、国家同步辐射实验室组织师生观赏话剧《今夜星辰》,/2023/0309/c2314a594350/page.htm,2023/0309,30
6,国家同步辐射实验室2022级硕士班团支部举行 “学习二十大，奋进新征程”系列主题团日活动,/2022/1209/c2314a584982/page.htm,2022/1209,30
7,国家同步辐射实验室2019级硕士班茶话会暨2021级博士班座谈会,/2022/0615/c2314a558325/page.htm,2022/0615,50
