,title,href,time,pay
0,马克思主义学院2022级硕士班举办学术论文写作交流会暨廉洁教育主题班会,/2023/0418/c2314a599686/page.htm,2023/0418,50
1,马克思主义学院团总支开展“清明寄哀思，先辈精神促我行”  主题团日祭扫活动,/2023/0404/c2314a597633/page.htm,2023/0404,30
2,马克思主义学院2022级硕士研究生班开展“追寻红色印记，缅怀峥嵘岁月”主题参观活动,/2023/0303/c2314a593773/page.htm,2023/0303,50
3,微尺度2022年青年马克思主义者培养工程院级团校顺利举办,/2022/0921/c2314a570554/page.htm,2022/0921,30
4,马克思主义学院2022级硕士研究生线上参加中国科大研究生开学典礼暨入学教育,/2022/0922/c2314a570700/page.htm,2022/0922,30
5,马克思主义学院2022级硕士研究生班举办入学教育系列实践活动,/2022/0922/c2314a570699/page.htm,2022/0922,30
6,马克思主义学院2022级硕士研究生班召开入学教育班会,/2022/0922/c2314a570697/page.htm,2022/0922,30
7,火灾科学国家重点实验室2022年青年马克思主义者培养工程院级团校第一、二次课程顺利举办,/2022/0921/c2314a570618/page.htm,2022/0921,30
8,少年班学院2020级2班集中学习马克思主义劳动观,/2022/0527/c2314a556350/page.htm,2022/0527,70
